class,cap-shape,cap-color,odor,gill-color,stalk-root,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-type,spore-print-color,population,habitat
e,s,n,n,k,e,w,w,w,p,k,v,u
e,x,w,a,w,b,w,w,w,p,u,v,d
e,x,n,l,w,r,w,w,w,p,k,s,g
e,b,y,a,k,c,w,w,w,p,n,n,g
e,x,w,a,k,c,w,w,w,p,n,n,g
e,b,w,a,n,c,w,w,w,p,k,s,m
e,b,y,a,g,c,w,w,w,p,k,s,g
e,b,y,l,g,c,w,w,w,p,k,s,m
e,b,y,a,n,c,w,w,w,p,k,n,g
e,x,n,n,k,e,w,w,w,p,n,y,u
e,f,n,l,n,r,w,w,w,p,n,y,g
e,x,w,a,k,c,w,w,w,p,n,s,g
e,f,y,l,w,r,w,w,w,p,n,y,p
e,b,w,a,w,c,w,w,w,p,n,s,g
e,b,w,a,w,c,w,w,w,p,k,s,m
e,x,n,l,w,r,w,w,w,p,k,y,g
e,b,w,a,k,c,w,w,w,p,k,s,g
e,x,g,n,g,e,w,w,w,p,n,y,u
e,b,y,l,k,c,w,w,w,p,n,s,g
e,x,y,l,n,b,w,w,w,p,u,v,d
e,b,y,a,w,c,w,w,w,p,k,s,g
e,f,y,l,p,r,w,w,w,p,n,s,g
e,b,w,l,w,c,w,w,w,p,k,n,m
e,b,w,a,k,c,w,w,w,p,k,n,m
e,b,y,a,g,c,w,w,w,p,n,s,g
e,x,y,l,g,c,w,w,w,p,n,n,m
e,b,y,l,g,c,w,w,w,p,n,n,g
p,x,w,p,p,e,w,w,w,p,n,v,u
e,s,n,n,g,e,w,w,w,p,n,y,u
e,f,n,n,g,e,w,w,w,p,k,v,u
e,x,y,a,g,c,w,w,w,p,n,s,m
e,f,n,a,p,r,w,w,w,p,k,s,p
p,x,w,p,k,e,w,w,w,p,k,s,g
e,b,w,l,g,c,w,w,w,p,n,s,m
e,f,g,n,p,e,w,w,w,p,k,v,u
e,b,y,l,g,c,w,w,w,p,n,n,g
e,x,n,a,w,r,w,w,w,p,n,y,p
e,x,w,n,p,e,w,w,w,e,k,s,g
e,x,w,l,w,b,w,w,w,p,n,v,d
e,b,w,l,w,c,w,w,w,p,n,s,m
e,f,y,a,w,b,w,w,w,p,n,v,d
e,x,y,a,k,c,w,w,w,p,n,n,m
e,f,g,n,g,e,w,w,w,p,n,y,u
e,b,y,a,n,c,w,w,w,p,k,s,g
e,x,w,l,g,c,w,w,w,p,n,n,m
e,x,w,l,n,c,w,w,w,p,n,s,m
e,f,w,a,n,b,w,w,w,p,n,v,d
e,x,y,l,w,c,w,w,w,p,n,s,g
e,b,w,l,w,c,w,w,w,p,k,s,g
e,x,w,a,g,c,w,w,w,p,k,n,g
e,x,w,n,h,e,w,w,w,e,k,s,g
e,f,n,l,n,r,w,w,w,p,k,y,p
p,x,w,p,k,e,w,w,w,p,n,v,u
e,b,w,a,n,c,w,w,w,p,n,n,g
e,b,w,a,k,c,w,w,w,p,k,s,m
e,b,w,l,n,c,w,w,w,p,n,n,g
e,b,w,a,w,c,w,w,w,p,k,n,g
e,x,y,a,w,c,w,w,w,p,k,s,g
e,b,w,l,w,c,w,w,w,p,k,n,m
e,x,y,a,n,b,w,w,w,p,n,v,d
e,x,g,n,n,e,w,w,w,p,n,y,u
e,f,y,a,n,r,w,w,w,p,n,s,g
e,b,w,l,n,c,w,w,w,p,k,n,m
e,x,y,a,g,c,w,w,w,p,k,s,g
e,x,y,a,k,c,w,w,w,p,k,s,g
e,x,w,l,w,c,w,w,w,p,n,s,g
e,s,g,n,p,e,w,w,w,p,n,v,u
e,x,w,a,n,c,w,w,w,p,n,n,m
p,x,w,p,k,e,w,w,w,p,k,s,g
e,x,y,a,n,r,w,w,w,p,n,s,g
e,f,w,a,p,b,w,w,w,p,n,v,d
e,x,w,l,g,c,w,w,w,p,k,n,m
e,b,w,l,n,c,w,w,w,p,k,s,g
e,x,w,a,g,c,w,w,w,p,n,n,g
e,x,y,a,g,c,w,w,w,p,n,s,g
p,x,n,p,p,e,w,w,w,p,k,v,u
e,b,y,a,n,c,w,w,w,p,n,n,g
e,x,g,n,n,e,w,w,w,p,k,y,u
p,x,w,p,k,e,w,w,w,p,k,s,u
e,x,y,l,n,r,w,w,w,p,n,y,p
e,f,n,n,k,e,w,w,w,p,k,v,u
e,b,w,l,k,c,w,w,w,p,n,n,g
e,x,w,l,w,b,w,w,w,p,n,v,d
e,x,w,l,w,c,w,w,w,p,k,s,g
e,b,y,l,n,c,w,w,w,p,n,s,g
e,x,y,l,n,r,w,w,w,p,k,s,g
e,f,y,a,p,r,w,w,w,p,k,s,p
e,f,y,a,w,r,w,w,w,p,k,y,p
e,x,w,l,w,c,w,w,w,p,k,s,g
e,x,w,a,w,c,w,w,w,p,n,n,m
p,x,w,p,n,e,w,w,w,p,k,v,u
e,f,w,a,p,b,w,w,w,p,u,v,d
e,x,w,l,w,c,w,w,w,p,n,s,g
e,x,w,l,p,b,w,w,w,p,u,v,d
e,x,w,a,n,c,w,w,w,p,k,s,m
e,f,y,l,w,r,w,w,w,p,k,y,p
e,x,n,n,p,e,w,w,w,e,k,s,g
e,f,y,a,w,r,w,w,w,p,n,y,g
p,x,n,p,p,e,w,w,w,p,n,s,g
e,s,n,n,g,e,w,w,w,p,n,v,u
e,b,y,l,w,c,w,w,w,p,n,s,m
e,b,w,l,n,c,w,w,w,p,n,s,g
e,b,w,l,k,c,w,w,w,p,n,n,m
e,f,n,n,k,e,w,w,w,p,n,v,u
e,x,w,a,w,c,w,w,w,p,k,n,m
e,b,w,l,g,c,w,w,w,p,k,n,g
e,b,w,a,g,c,w,w,w,p,n,n,m
e,f,n,l,w,r,w,w,w,p,n,s,g
p,x,w,p,k,e,w,w,w,p,k,v,g
e,x,w,a,n,c,w,w,w,p,n,n,g
e,x,w,a,n,c,w,w,w,p,n,s,m
e,f,w,l,w,b,w,w,w,p,u,v,d
e,f,g,n,g,e,w,w,w,p,k,v,u
e,f,g,n,p,e,w,w,w,e,k,a,g
e,x,y,a,g,c,w,w,w,p,n,s,m
e,b,w,a,k,c,w,w,w,p,n,s,m
p,f,n,p,w,e,w,w,w,p,k,s,u
e,x,w,l,n,c,w,w,w,p,k,n,m
p,f,n,p,w,e,w,w,w,p,k,v,u
e,x,w,l,k,c,w,w,w,p,n,s,g
e,x,y,a,k,c,w,w,w,p,n,n,m
e,f,y,a,n,r,w,w,w,p,n,s,p
e,x,n,a,w,r,w,w,w,p,n,s,p
e,f,n,a,w,r,w,w,w,p,n,y,g
e,x,w,a,w,c,w,w,w,p,n,n,m
e,f,n,n,h,e,w,w,w,e,k,s,g
e,x,y,l,k,c,w,w,w,p,n,n,m
p,x,w,p,w,e,w,w,w,p,n,s,g
e,b,y,a,n,c,w,w,w,p,n,n,m
e,s,n,n,p,e,w,w,w,p,n,v,u
e,x,y,l,k,c,w,w,w,p,k,s,m
e,b,w,l,n,c,w,w,w,p,k,n,m
e,f,n,a,n,r,w,w,w,p,k,s,g
e,b,y,a,g,c,w,w,w,p,k,s,m
e,b,w,a,g,c,w,w,w,p,k,s,g
e,x,n,l,n,r,w,w,w,p,n,y,p
e,f,g,n,p,e,w,w,w,p,n,y,u
e,x,g,n,g,e,w,w,w,p,k,y,u
e,b,y,l,n,c,w,w,w,p,k,s,g
e,x,y,l,n,c,w,w,w,p,k,s,m
e,b,w,l,k,c,w,w,w,p,n,s,g
e,x,w,a,g,c,w,w,w,p,k,s,m
e,b,y,a,g,c,w,w,w,p,n,n,m
e,x,y,a,k,c,w,w,w,p,k,s,m
e,x,g,n,p,e,w,w,w,e,k,s,g
e,f,y,a,p,b,w,w,w,p,n,v,d
p,x,w,p,p,e,w,w,w,p,k,s,g
e,x,w,n,k,e,w,w,w,e,k,a,g
e,b,w,a,w,c,w,w,w,p,k,s,g
e,x,y,l,w,b,w,w,w,p,n,v,d
e,b,w,a,n,c,w,w,w,p,k,s,g
e,x,w,l,g,c,w,w,w,p,k,s,g
e,x,n,n,p,b,g,p,w,p,n,y,d
e,b,w,l,k,c,w,w,w,p,n,s,m
e,x,y,l,g,c,w,w,w,p,n,n,m
e,f,n,a,p,r,w,w,w,p,k,y,g
e,x,w,n,n,e,w,w,w,e,n,s,g
e,x,y,l,w,c,w,w,w,p,k,s,g
p,x,w,p,n,e,w,w,w,p,n,v,g
e,x,y,l,n,c,w,w,w,p,k,s,g
e,x,w,a,p,b,w,w,w,p,n,v,d
e,b,y,a,g,c,w,w,w,p,n,n,g
p,x,w,p,k,e,w,w,w,p,k,v,u
e,x,y,a,w,b,w,w,w,p,n,v,d
e,x,w,a,k,c,w,w,w,p,k,n,m
e,x,w,l,n,b,w,w,w,p,n,v,d
e,f,w,l,w,b,w,w,w,p,n,v,d
e,x,y,l,k,c,w,w,w,p,n,s,m
e,f,y,a,w,b,w,w,w,p,u,v,d
e,x,w,a,w,c,w,w,w,p,k,s,g
e,b,y,a,n,c,w,w,w,p,k,s,m
e,x,n,l,p,r,w,w,w,p,n,s,p
e,b,w,l,k,c,w,w,w,p,k,n,g
e,x,y,a,n,c,w,w,w,p,n,s,m
p,x,n,p,n,e,w,w,w,p,n,v,u
e,b,y,l,w,c,w,w,w,p,k,n,g
e,b,w,a,g,c,w,w,w,p,k,n,g
p,x,n,p,w,e,w,w,w,p,k,v,u
e,b,w,l,n,c,w,w,w,p,k,s,m
e,b,y,l,w,c,w,w,w,p,n,n,m
e,b,y,a,n,c,w,w,w,p,k,s,g
e,x,w,l,g,c,w,w,w,p,n,n,g
e,x,n,n,p,b,p,w,w,p,k,y,d
e,x,n,a,w,r,w,w,w,p,k,y,g
e,b,y,l,n,c,w,w,w,p,n,s,g
e,x,g,n,g,e,w,w,w,p,n,v,u
e,x,n,l,n,r,w,w,w,p,k,y,g
e,x,w,a,k,c,w,w,w,p,n,s,g
e,b,w,a,n,c,w,w,w,p,k,n,g
e,x,y,a,g,c,w,w,w,p,k,s,m
e,f,y,a,p,b,w,w,w,p,n,v,d
e,b,y,l,g,c,w,w,w,p,n,s,g
e,x,n,n,n,e,w,w,w,e,n,a,g
e,x,y,l,n,b,w,w,w,p,n,v,d
e,x,y,a,n,c,w,w,w,p,n,n,m
e,f,g,n,n,e,w,w,w,e,k,s,g
e,x,n,n,g,e,w,w,w,p,n,y,u
e,f,g,n,h,e,w,w,w,e,n,a,g
e,f,n,a,p,r,w,w,w,p,n,s,p
e,b,w,a,k,c,w,w,w,p,n,s,g
e,b,y,a,k,c,w,w,w,p,k,s,m
e,x,y,l,w,r,w,w,w,p,k,s,p
e,s,g,n,g,e,w,w,w,p,n,v,u
e,f,n,a,p,r,w,w,w,p,n,y,p
p,x,n,p,k,e,w,w,w,p,k,s,u
e,x,y,a,p,r,w,w,w,p,n,y,p
e,x,y,a,w,c,w,w,w,p,n,s,g
e,x,n,n,h,e,w,w,w,e,n,s,g
e,x,n,n,p,e,w,w,w,e,k,a,g
e,f,n,n,k,e,w,w,w,e,k,a,g
e,f,n,a,n,r,w,w,w,p,n,s,p
e,x,y,a,w,c,w,w,w,p,k,n,g
e,f,n,n,p,e,w,w,w,p,k,v,u
e,x,y,a,w,r,w,w,w,p,n,s,p
e,x,y,a,p,b,w,w,w,p,u,v,d
e,b,y,a,g,c,w,w,w,p,n,n,g
e,x,g,n,n,e,w,w,w,e,k,s,g
e,x,y,a,w,r,w,w,w,p,n,s,g
e,f,n,l,n,r,w,w,w,p,k,y,g
e,x,y,a,w,c,w,w,w,p,k,s,m
e,s,n,n,n,e,w,w,w,p,n,y,u
e,x,w,a,k,c,w,w,w,p,k,s,m
e,b,w,l,n,c,w,w,w,p,k,n,g
e,s,n,n,k,e,w,w,w,p,k,y,u
e,b,y,l,n,c,w,w,w,p,n,n,m
e,x,y,l,k,c,w,w,w,p,n,n,g
e,b,y,a,k,c,w,w,w,p,n,s,g
p,x,n,p,p,e,w,w,w,p,k,s,u
e,x,w,n,k,e,w,w,w,e,n,s,g
e,x,w,a,w,c,w,w,w,p,k,s,m
e,b,w,a,g,c,w,w,w,p,n,n,g
e,x,n,n,n,b,g,w,w,p,n,y,d
p,x,n,p,w,e,w,w,w,p,n,s,u
e,x,n,l,w,r,w,w,w,p,k,y,p
e,x,n,n,n,e,w,w,w,e,k,a,g
e,b,y,l,n,c,w,w,w,p,k,n,m
e,x,y,a,w,c,w,w,w,p,n,n,m
e,b,y,a,n,c,w,w,w,p,n,s,m
e,x,y,l,g,c,w,w,w,p,k,n,m
e,b,w,a,n,c,w,w,w,p,n,n,g
e,x,g,n,k,e,w,w,w,p,n,v,u
e,f,n,a,w,r,w,w,w,p,k,s,g
e,x,g,n,h,e,w,w,w,e,n,a,g
e,x,w,l,k,c,w,w,w,p,n,n,m
e,x,y,l,w,c,w,w,w,p,n,s,m
e,x,g,n,n,e,w,w,w,p,k,v,u
p,x,n,p,p,e,w,w,w,p,n,s,u
e,b,w,l,w,c,w,w,w,p,n,n,g
e,b,w,a,n,c,w,w,w,p,k,n,m
p,x,n,p,p,e,w,w,w,p,n,v,u
e,b,y,l,w,c,w,w,w,p,n,s,m
e,x,w,l,k,c,w,w,w,p,n,s,m
e,x,y,l,n,c,w,w,w,p,k,s,m
e,b,y,l,n,c,w,w,w,p,n,n,g
e,x,w,a,g,c,w,w,w,p,n,s,m
e,x,w,a,g,c,w,w,w,p,k,s,g
e,x,n,l,w,r,w,w,w,p,n,y,p
e,x,w,a,w,c,w,w,w,p,n,s,m
e,x,n,n,n,e,w,w,w,e,k,s,g
e,x,n,l,n,r,w,w,w,p,n,s,p
e,x,y,l,n,r,w,w,w,p,k,y,g
p,x,n,p,k,e,w,w,w,p,k,v,g
e,b,y,a,w,c,w,w,w,p,n,n,g
e,x,w,l,p,b,w,w,w,p,u,v,d
p,x,n,p,w,e,w,w,w,p,k,s,u
e,x,y,l,k,c,w,w,w,p,k,n,g
e,f,g,n,h,e,w,w,w,e,n,a,g
e,x,w,l,n,c,w,w,w,p,k,s,g
e,b,w,a,w,c,w,w,w,p,n,s,m
p,x,n,p,p,e,w,w,w,p,n,s,u
e,f,n,l,w,r,w,w,w,p,k,s,g
e,x,w,l,n,c,w,w,w,p,n,n,m
e,x,w,a,n,b,w,w,w,p,n,v,d
e,f,n,a,n,r,w,w,w,p,n,y,p
e,b,w,a,k,c,w,w,w,p,n,n,m
e,x,w,n,p,e,w,w,w,e,k,a,g
e,f,g,n,n,e,w,w,w,p,n,v,u
e,x,w,a,g,c,w,w,w,p,n,s,g
e,x,y,l,n,r,w,w,w,p,n,y,g
e,b,y,l,g,c,w,w,w,p,n,s,g
e,b,y,l,w,c,w,w,w,p,k,s,g
e,f,w,l,n,b,w,w,w,p,n,v,d
e,b,w,a,w,c,w,w,w,p,k,n,m
e,x,y,a,n,b,w,w,w,p,u,v,d
e,x,w,l,g,c,w,w,w,p,n,n,m
e,b,y,l,k,c,w,w,w,p,n,n,m
e,x,n,a,p,r,w,w,w,p,n,y,p
e,x,w,l,n,c,w,w,w,p,k,s,m
e,x,w,l,g,c,w,w,w,p,k,s,m
e,x,y,a,p,r,w,w,w,p,k,y,p
e,x,w,l,n,c,w,w,w,p,k,n,m
e,x,y,l,w,c,w,w,w,p,k,n,m
e,x,n,l,p,r,w,w,w,p,k,s,g
e,x,w,l,n,c,w,w,w,p,n,n,g
e,f,n,l,n,r,w,w,w,p,k,s,g
e,b,w,l,w,c,w,w,w,p,k,s,m
e,x,n,n,n,b,g,p,w,p,n,y,d
e,x,w,l,k,c,w,w,w,p,n,s,m
e,b,w,l,g,c,w,w,w,p,k,n,g
e,b,y,l,g,c,w,w,w,p,k,n,m
e,x,y,l,p,b,w,w,w,p,n,v,d
e,b,w,l,g,c,w,w,w,p,n,n,m
e,x,g,n,h,e,w,w,w,e,k,a,g
e,b,w,a,k,c,w,w,w,p,n,n,g
e,b,y,l,w,c,w,w,w,p,k,s,m
e,f,y,a,n,r,w,w,w,p,k,y,p
e,f,n,a,w,r,w,w,w,p,n,y,p
e,x,w,a,k,c,w,w,w,p,n,s,m
e,f,y,l,n,r,w,w,w,p,n,s,g
e,b,w,a,g,c,w,w,w,p,k,s,g
e,x,y,a,w,c,w,w,w,p,n,n,m
e,x,n,n,k,e,w,w,w,p,k,v,u
e,f,n,a,p,r,w,w,w,p,n,y,g
e,x,w,a,g,c,w,w,w,p,k,n,m
e,x,y,l,g,c,w,w,w,p,k,n,g
e,b,y,l,g,c,w,w,w,p,k,n,g
e,f,y,a,w,r,w,w,w,p,n,s,p
e,x,y,l,g,c,w,w,w,p,k,n,g
e,x,w,a,w,c,w,w,w,p,k,n,m
e,f,w,a,n,b,w,w,w,p,u,v,d
e,s,g,n,k,e,w,w,w,p,k,y,u
e,f,y,l,n,b,w,w,w,p,n,v,d
e,f,g,n,k,e,w,w,w,p,k,y,u
e,x,n,n,p,e,w,w,w,p,n,y,u
e,b,w,a,w,c,w,w,w,p,n,n,g
e,x,w,a,p,b,w,w,w,p,n,v,d
e,b,y,l,n,c,w,w,w,p,k,s,m
e,b,y,a,k,c,w,w,w,p,k,s,m
e,b,y,l,g,c,w,w,w,p,k,s,g
e,f,w,l,p,b,w,w,w,p,u,v,d
e,f,g,n,g,e,w,w,w,p,k,y,u
e,f,w,a,w,b,w,w,w,p,n,v,d
e,f,y,a,p,r,w,w,w,p,k,y,g
e,x,w,l,w,c,w,w,w,p,n,s,m
e,s,n,n,p,e,w,w,w,p,n,y,u
e,x,n,l,n,r,w,w,w,p,k,s,p
e,x,n,a,n,r,w,w,w,p,k,s,p
e,f,y,a,n,b,w,w,w,p,u,v,d
p,f,n,p,p,e,w,w,w,p,n,s,g
p,x,n,p,k,e,w,w,w,p,n,v,u
e,f,n,l,w,r,w,w,w,p,n,s,p
e,x,y,a,w,r,w,w,w,p,k,s,g
e,b,y,a,k,c,w,w,w,p,n,n,m
e,f,w,n,h,e,w,w,w,e,n,a,g
e,f,n,a,p,r,w,w,w,p,n,s,g
e,x,w,a,n,c,w,w,w,p,n,s,g
e,b,y,l,w,c,w,w,w,p,k,n,m
e,x,y,a,w,c,w,w,w,p,n,n,g
e,b,y,a,g,c,w,w,w,p,k,n,g
e,x,w,l,g,c,w,w,w,p,k,n,m
e,b,y,a,w,c,w,w,w,p,k,s,m
e,b,y,a,w,c,w,w,w,p,n,s,g
p,x,n,p,n,e,w,w,w,p,n,v,g
e,x,g,n,p,e,w,w,w,e,n,s,g
e,f,n,n,p,e,w,w,w,e,n,a,g
e,x,w,a,n,b,w,w,w,p,n,v,d
e,f,g,n,p,e,w,w,w,p,n,v,u
e,f,n,n,k,e,w,w,w,p,n,y,u
e,b,y,a,k,c,w,w,w,p,k,s,g
e,x,w,a,n,b,w,w,w,p,u,v,d
e,s,g,n,n,e,w,w,w,p,n,v,u
e,x,n,n,k,e,w,w,w,p,n,v,u
e,x,w,n,h,e,w,w,w,e,n,a,g
e,x,n,l,n,r,w,w,w,p,k,y,p
e,b,y,a,k,c,w,w,w,p,k,n,g
e,x,w,l,k,c,w,w,w,p,k,s,g
e,x,y,a,k,c,w,w,w,p,n,n,g
e,x,w,l,w,c,w,w,w,p,k,n,m
e,b,w,l,n,c,w,w,w,p,k,s,g
e,f,y,a,p,r,w,w,w,p,n,y,p
p,x,n,p,n,e,w,w,w,p,n,s,u
e,f,g,n,n,e,w,w,w,p,k,y,u
e,b,y,l,w,c,w,w,w,p,n,s,g
e,f,n,a,w,r,w,w,w,p,n,s,p
e,x,y,a,k,c,w,w,w,p,n,s,m
e,x,n,n,k,e,w,w,w,p,k,y,u
e,f,y,a,w,r,w,w,w,p,n,y,p
e,x,n,a,n,r,w,w,w,p,n,y,p
e,x,w,a,n,c,w,w,w,p,k,s,g
